date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:43:06	2199/2199	---MCZ	200	added ('OK')	image/jpeg	date:Tue,%2008%20Sep%202020%2010:43:07%20GMT	https://dtbk.dtbafrica.com/image-captcha-generate/698171/1599561782	C:/My%20Web%20Sites/DTB%20Kenya/dtbk.dtbafrica.com/image-captcha-generate/698171/1599561782.jpg	(from https://dtbk.dtbafrica.com/stakeholder-information/code-of-corporate-governance?q=stakeholder-information/code-of-corporate-governance&page=6)
13:43:07	197957/197957	---M--	200	added ('OK')	image/png	etag:%225d6e757c-30545%22	https://dtbk.dtbafrica.com/sites/default/files/DTB-Stakeholder/Code%20of%20Corporate%20Governance%20Practices%20for%20Issuers%20of%20Securities%20to%20the%20Public%202015%20-%20Code-16.png	C:/My%20Web%20Sites/DTB%20Kenya/dtbk.dtbafrica.com/sites/default/files/DTB-Stakeholder/Code%20of%20Corporate%20Governance%20Practices%20for%20Issuers%20of%20Securities%20to%20the%20Public%202015%20-%20Code-16.png	(from https://dtbk.dtbafrica.com/stakeholder-information/code-of-corporate-governance?q=stakeholder-information/code-of-corporate-governance&page=7)
13:43:08	49256/49256	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20Sep%202020%2010:43:08%20GMT	https://dtbk.dtbafrica.com/stakeholder-information/code-of-corporate-governance?q=stakeholder-information/code-of-corporate-governance&page=8	C:/My%20Web%20Sites/DTB%20Kenya/dtbk.dtbafrica.com/stakeholder-information/code-of-corporate-governancec2e3.html	(from https://dtbk.dtbafrica.com/stakeholder-information/code-of-corporate-governance?q=stakeholder-information/code-of-corporate-governance&page=7)
13:43:08	2754/2754	---MCZ	200	added ('OK')	image/jpeg	date:Tue,%2008%20Sep%202020%2010:43:08%20GMT	https://dtbk.dtbafrica.com/image-captcha-generate/698172/1599561785	C:/My%20Web%20Sites/DTB%20Kenya/dtbk.dtbafrica.com/image-captcha-generate/698172/1599561785.jpg	(from https://dtbk.dtbafrica.com/stakeholder-information/code-of-corporate-governance?q=stakeholder-information/code-of-corporate-governance&page=7)
13:43:10	49258/49258	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20Sep%202020%2010:43:10%20GMT	https://dtbk.dtbafrica.com/stakeholder-information/code-of-corporate-governance?q=stakeholder-information/code-of-corporate-governance&page=9	C:/My%20Web%20Sites/DTB%20Kenya/dtbk.dtbafrica.com/stakeholder-information/code-of-corporate-governance1f2d.html	(from https://dtbk.dtbafrica.com/stakeholder-information/code-of-corporate-governance?q=stakeholder-information/code-of-corporate-governance&page=8)
13:43:10	167411/167411	---M--	200	added ('OK')	image/png	etag:%225d6e757c-28df3%22	https://dtbk.dtbafrica.com/sites/default/files/DTB-Stakeholder/Code%20of%20Corporate%20Governance%20Practices%20for%20Issuers%20of%20Securities%20to%20the%20Public%202015%20-%20Code-17.png	C:/My%20Web%20Sites/DTB%20Kenya/dtbk.dtbafrica.com/sites/default/files/DTB-Stakeholder/Code%20of%20Corporate%20Governance%20Practices%20for%20Issuers%20of%20Securities%20to%20the%20Public%202015%20-%20Code-17.png	(from https://dtbk.dtbafrica.com/stakeholder-information/code-of-corporate-governance?q=stakeholder-information/code-of-corporate-governance&page=8)
13:43:10	2623/2623	---MCZ	200	added ('OK')	image/jpeg	date:Tue,%2008%20Sep%202020%2010:43:11%20GMT	https://dtbk.dtbafrica.com/image-captcha-generate/698173/1599561787	C:/My%20Web%20Sites/DTB%20Kenya/dtbk.dtbafrica.com/image-captcha-generate/698173/1599561787.jpg	(from https://dtbk.dtbafrica.com/stakeholder-information/code-of-corporate-governance?q=stakeholder-information/code-of-corporate-governance&page=8)
13:43:11	189798/189798	---M--	200	added ('OK')	image/png	etag:%225d6e757d-2e566%22	https://dtbk.dtbafrica.com/sites/default/files/DTB-Stakeholder/Code%20of%20Corporate%20Governance%20Practices%20for%20Issuers%20of%20Securities%20to%20the%20Public%202015%20-%20Code-18.png	C:/My%20Web%20Sites/DTB%20Kenya/dtbk.dtbafrica.com/sites/default/files/DTB-Stakeholder/Code%20of%20Corporate%20Governance%20Practices%20for%20Issuers%20of%20Securities%20to%20the%20Public%202015%20-%20Code-18.png	(from https://dtbk.dtbafrica.com/stakeholder-information/code-of-corporate-governance?q=stakeholder-information/code-of-corporate-governance&page=9)
13:43:11	49262/49262	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20Sep%202020%2010:43:12%20GMT	https://dtbk.dtbafrica.com/stakeholder-information/code-of-corporate-governance?q=stakeholder-information/code-of-corporate-governance&page=10	C:/My%20Web%20Sites/DTB%20Kenya/dtbk.dtbafrica.com/stakeholder-information/code-of-corporate-governance619f.html	(from https://dtbk.dtbafrica.com/stakeholder-information/code-of-corporate-governance?q=stakeholder-information/code-of-corporate-governance&page=9)
13:43:12	2541/2541	---MCZ	200	added ('OK')	image/jpeg	date:Tue,%2008%20Sep%202020%2010:43:12%20GMT	https://dtbk.dtbafrica.com/image-captcha-generate/698174/1599561790	C:/My%20Web%20Sites/DTB%20Kenya/dtbk.dtbafrica.com/image-captcha-generate/698174/1599561790.jpg	(from https://dtbk.dtbafrica.com/stakeholder-information/code-of-corporate-governance?q=stakeholder-information/code-of-corporate-governance&page=9)
